,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
34,2024-08-03,St Truiden,Charleroi,1.0,4.0,A,0.0,4.0,A,3.0,15.0,2.0,7.0,6.0,7.0,3.0,3.0,1.0,1.0,0.0,0.0
35,2024-08-03,Oud-Heverlee Leuven,Genk,3.0,1.0,H,2.0,0.0,H,11.0,18.0,5.0,7.0,12.0,16.0,2.0,10.0,2.0,2.0,0.0,0.0
36,2024-08-03,Mechelen,Westerlo,2.0,4.0,A,0.0,2.0,A,12.0,14.0,4.0,9.0,14.0,13.0,8.0,4.0,4.0,3.0,0.0,0.0
37,2024-08-02,St. Gilloise,Beerschot VA,3.0,1.0,H,2.0,0.0,H,10.0,6.0,4.0,2.0,12.0,10.0,4.0,6.0,2.0,2.0,0.0,0.0
38,2024-07-28,Westerlo,Cercle Brugge,3.0,0.0,H,1.0,0.0,H,10.0,12.0,6.0,4.0,9.0,12.0,6.0,7.0,0.0,1.0,0.0,0.0
39,2024-07-28,Charleroi,Antwerp,0.0,1.0,A,0.0,1.0,A,12.0,12.0,5.0,4.0,15.0,7.0,5.0,6.0,5.0,2.0,0.0,0.0
40,2024-07-28,Kortrijk,Gent,0.0,1.0,A,0.0,0.0,D,15.0,8.0,5.0,2.0,10.0,7.0,8.0,4.0,2.0,2.0,0.0,0.0
41,2024-07-28,Genk,Standard,0.0,0.0,D,0.0,0.0,D,21.0,4.0,3.0,1.0,12.0,14.0,10.0,1.0,0.0,4.0,0.0,0.0
42,2024-07-27,Anderlecht,St Truiden,1.0,0.0,H,0.0,0.0,D,11.0,2.0,3.0,0.0,8.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0
43,2024-07-27,Beerschot VA,Oud-Heverlee Leuven,0.0,0.0,D,0.0,0.0,D,1.0,9.0,0.0,2.0,15.0,15.0,2.0,6.0,2.0,1.0,0.0,0.0
44,2024-07-27,Dender,St. Gilloise,0.0,0.0,D,0.0,0.0,D,3.0,10.0,0.0,3.0,12.0,7.0,4.0,6.0,4.0,2.0,0.0,0.0
45,2024-07-26,Club Brugge,Mechelen,1.0,1.0,D,0.0,0.0,D,28.0,5.0,7.0,2.0,14.0,8.0,7.0,2.0,1.0,2.0,0.0,0.0
46,2024-06-02,Genk,Gent,0.0,1.0,A,0.0,0.0,D,10.0,13.0,4.0,5.0,20.0,12.0,4.0,2.0,5.0,2.0,0.0,0.0
47,2024-05-26,Antwerp,Anderlecht,3.0,1.0,H,0.0,1.0,A,21.0,15.0,5.0,5.0,8.0,9.0,4.0,2.0,3.0,0.0,0.0,0.0
48,2024-05-26,Club Brugge,Cercle Brugge,0.0,0.0,D,0.0,0.0,D,10.0,7.0,3.0,1.0,9.0,11.0,5.0,2.0,1.0,0.0,0.0,0.0
49,2024-05-26,St. Gilloise,Genk,2.0,0.0,H,1.0,0.0,H,21.0,9.0,8.0,2.0,18.0,10.0,10.0,4.0,3.0,1.0,0.0,1.0
50,2024-05-25,Gent,St Truiden,2.0,0.0,H,0.0,0.0,D,7.0,15.0,4.0,2.0,9.0,12.0,4.0,4.0,0.0,0.0,0.0,0.0
51,2024-05-25,Mechelen,Standard,3.0,2.0,H,2.0,0.0,H,20.0,7.0,9.0,4.0,8.0,6.0,9.0,4.0,2.0,0.0,0.0,0.0
52,2024-05-25,Oud-Heverlee Leuven,Westerlo,1.0,2.0,A,0.0,2.0,A,10.0,21.0,3.0,7.0,11.0,11.0,1.0,6.0,4.0,5.0,2.0,0.0
53,2024-05-20,Genk,Antwerp,1.0,0.0,H,1.0,0.0,H,9.0,16.0,3.0,6.0,10.0,13.0,2.0,8.0,3.0,1.0,0.0,0.0
54,2024-05-19,Anderlecht,Club Brugge,0.0,1.0,A,0.0,1.0,A,13.0,14.0,4.0,2.0,10.0,10.0,4.0,4.0,1.0,3.0,0.0,0.0
55,2024-05-19,Cercle Brugge,St. Gilloise,1.0,2.0,A,1.0,1.0,D,9.0,14.0,3.0,5.0,17.0,18.0,5.0,5.0,3.0,3.0,0.0,0.0
56,2024-05-18,Standard,Gent,1.0,4.0,A,1.0,1.0,D,9.0,18.0,2.0,6.0,11.0,6.0,5.0,11.0,1.0,0.0,0.0,0.0
57,2024-05-18,Westerlo,Mechelen,0.0,2.0,A,0.0,1.0,A,10.0,17.0,2.0,7.0,8.0,10.0,10.0,5.0,0.0,1.0,0.0,0.0
58,2024-05-17,St Truiden,Oud-Heverlee Leuven,1.0,1.0,D,0.0,0.0,D,9.0,9.0,3.0,3.0,10.0,12.0,2.0,1.0,2.0,0.0,0.0,0.0
59,2024-05-13,Club Brugge,St. Gilloise,2.0,2.0,D,0.0,0.0,D,24.0,17.0,4.0,6.0,7.0,14.0,8.0,3.0,1.0,2.0,0.0,0.0
60,2024-05-12,Antwerp,Cercle Brugge,1.0,2.0,A,0.0,2.0,A,16.0,13.0,4.0,5.0,9.0,13.0,6.0,2.0,1.0,2.0,0.0,0.0
61,2024-05-12,St Truiden,Mechelen,2.0,1.0,H,2.0,1.0,H,11.0,7.0,5.0,3.0,9.0,12.0,2.0,1.0,1.0,0.0,0.0,0.0
62,2024-05-12,Gent,Oud-Heverlee Leuven,0.0,1.0,A,0.0,1.0,A,12.0,8.0,2.0,4.0,10.0,12.0,10.0,1.0,2.0,3.0,0.0,0.0
63,2024-05-11,Anderlecht,Genk,2.0,1.0,H,1.0,0.0,H,17.0,19.0,4.0,3.0,5.0,14.0,4.0,3.0,1.0,2.0,0.0,0.0
64,2024-05-11,Charleroi,Kortrijk,3.0,1.0,H,2.0,0.0,H,12.0,9.0,8.0,4.0,11.0,8.0,5.0,5.0,0.0,1.0,0.0,0.0
65,2024-05-11,Eupen,RWD Molenbeek,2.0,0.0,H,0.0,0.0,D,12.0,18.0,4.0,7.0,11.0,13.0,2.0,7.0,0.0,1.0,0.0,0.0
66,2024-05-05,Kortrijk,Eupen,1.0,0.0,H,1.0,0.0,H,18.0,10.0,4.0,2.0,15.0,12.0,7.0,3.0,4.0,3.0,0.0,1.0
67,2024-05-05,St. Gilloise,Anderlecht,0.0,0.0,D,0.0,0.0,D,19.0,12.0,8.0,9.0,12.0,8.0,8.0,3.0,4.0,1.0,0.0,0.0
