,Unnamed: 0,Home Full-T Goals,Away Full-T Goals,Home Half-T Goals,Away Half-T Goals,Home Shots,Away Shots,Home Shots Target,Away Shots Target,Home Fouls,Away Fouls,Home Corners,Away Corners,Home Yellow Cards,Away Yellow Cards,Home Red Cards,Away Red Cards,Full Result_enc,Half Result_enc,Home_avg5Goal,Away_avg5Goal,Home_avg10Goal,Away_avg10Goal,Home_avg20Goal,Away_avg20Goal,HomeTeamEnc,AwayTeamEnc
388,388,2.0,1.0,1.0,0.0,22.0,11.0,8.0,5.0,10.0,9.0,11.0,5.0,4.0,2.0,0.0,0.0,0,0.0,1.8,1.6,1.2,1.4,1.0,1.15,7,13
389,389,1.0,3.0,1.0,3.0,15.0,13.0,4.0,7.0,11.0,6.0,6.0,7.0,3.0,1.0,1.0,0.0,1,1.0,0.8,0.4,1.2,0.7,1.1,1.2,12,18
390,390,0.0,5.0,0.0,1.0,6.0,18.0,0.0,10.0,5.0,6.0,3.0,13.0,0.0,1.0,0.0,0.0,1,1.0,0.6,1.4,0.5,1.8,0.7,2.25,15,8
391,391,2.0,3.0,1.0,2.0,17.0,12.0,7.0,5.0,5.0,16.0,7.0,4.0,2.0,5.0,0.0,0.0,1,1.0,2.0,1.6,1.9,1.7,1.45,1.1,21,4
392,392,2.0,0.0,2.0,0.0,19.0,6.0,6.0,4.0,17.0,13.0,6.0,2.0,2.0,2.0,0.0,0.0,0,0.0,1.2,1.0,1.4,1.0,1.4,1.05,3,9
393,393,0.0,2.0,0.0,0.0,7.0,13.0,3.0,5.0,11.0,15.0,6.0,5.0,4.0,1.0,0.0,0.0,1,2.0,2.2,1.6,2.0,1.4,1.7,1.15,20,1
394,394,3.0,0.0,1.0,0.0,25.0,11.0,5.0,3.0,6.0,9.0,16.0,5.0,2.0,0.0,0.0,0.0,0,0.0,1.4,0.8,1.8,0.6,2.25,0.5,8,6
395,395,2.0,1.0,1.0,1.0,15.0,5.0,6.0,1.0,11.0,11.0,3.0,5.0,1.0,2.0,0.0,0.0,0,2.0,1.4,1.8,1.3,1.8,1.5,1.95,17,10
396,396,0.0,2.0,0.0,1.0,9.0,12.0,5.0,5.0,11.0,13.0,4.0,7.0,3.0,2.0,0.0,0.0,1,1.0,1.6,1.4,1.4,1.1,1.15,1.45,13,0
397,397,0.0,1.0,0.0,1.0,28.0,5.0,8.0,2.0,8.0,9.0,8.0,0.0,0.0,4.0,0.0,1.0,1,1.0,1.6,1.6,1.4,1.7,1.15,1.1,1,4
398,398,2.0,2.0,2.0,0.0,21.0,9.0,8.0,5.0,14.0,12.0,6.0,5.0,3.0,2.0,0.0,0.0,2,0.0,0.4,2.2,0.7,2.0,1.2,1.7,18,20
399,399,1.0,2.0,0.0,1.0,22.0,7.0,12.0,2.0,9.0,9.0,7.0,5.0,1.0,2.0,0.0,0.0,1,1.0,0.8,2.0,1.2,1.9,1.1,1.45,12,21
400,400,2.0,1.0,1.0,0.0,12.0,9.0,7.0,1.0,14.0,8.0,4.0,2.0,2.0,2.0,0.0,0.0,0,0.0,1.2,0.6,1.1,0.5,1.15,0.7,16,15
401,401,1.0,0.0,1.0,0.0,10.0,13.0,6.0,3.0,11.0,11.0,1.0,6.0,2.0,2.0,0.0,0.0,0,0.0,1.0,1.6,1.0,1.4,1.05,1.9,9,5
402,402,1.0,1.0,1.0,0.0,18.0,10.0,4.0,2.0,5.0,9.0,6.0,9.0,2.0,1.0,0.0,0.0,2,0.0,1.2,1.8,1.4,1.2,1.4,1.0,3,7
403,403,2.0,0.0,1.0,0.0,18.0,7.0,9.0,2.0,8.0,17.0,5.0,4.0,0.0,2.0,0.0,1.0,0,0.0,1.4,1.2,1.1,1.4,1.45,1.4,0,3
404,404,1.0,2.0,1.0,2.0,12.0,13.0,6.0,5.0,13.0,15.0,14.0,5.0,3.0,3.0,0.0,0.0,1,1.0,1.8,1.4,1.2,1.3,1.0,1.5,7,17
405,405,2.0,6.0,0.0,2.0,11.0,12.0,4.0,8.0,14.0,11.0,4.0,1.0,1.0,1.0,0.0,0.0,1,1.0,2.2,1.4,2.0,1.8,1.7,2.25,20,8
406,406,2.0,0.0,0.0,0.0,13.0,17.0,4.0,4.0,11.0,10.0,6.0,6.0,1.0,1.0,0.0,0.0,0,2.0,1.6,0.4,1.4,0.7,1.9,1.2,5,18
407,407,0.0,2.0,0.0,2.0,8.0,18.0,1.0,5.0,15.0,12.0,4.0,5.0,3.0,1.0,1.0,0.0,1,1.0,0.6,1.6,0.5,1.4,0.7,1.15,15,1
408,408,4.0,4.0,1.0,1.0,29.0,14.0,10.0,9.0,9.0,10.0,9.0,2.0,0.0,3.0,0.0,1.0,2,2.0,0.8,0.8,0.6,1.2,0.5,1.1,6,12
409,409,3.0,1.0,1.0,0.0,9.0,19.0,7.0,6.0,9.0,10.0,7.0,7.0,3.0,2.0,0.0,0.0,0,0.0,2.0,1.0,1.9,1.0,1.45,1.05,21,9
410,410,1.0,0.0,0.0,0.0,8.0,7.0,4.0,1.0,10.0,16.0,8.0,4.0,1.0,2.0,0.0,0.0,0,2.0,1.8,1.2,1.8,1.1,1.95,1.15,10,16
411,411,0.0,1.0,0.0,1.0,25.0,9.0,5.0,2.0,8.0,11.0,7.0,4.0,1.0,4.0,0.0,0.0,1,1.0,1.6,1.6,1.7,1.4,1.1,1.15,4,13
412,412,2.0,1.0,1.0,0.0,12.0,8.0,6.0,3.0,11.0,16.0,5.0,2.0,1.0,1.0,0.0,0.0,0,0.0,1.4,0.8,1.3,0.6,1.5,0.5,17,6
413,413,1.0,0.0,0.0,0.0,14.0,10.0,5.0,3.0,8.0,9.0,4.0,2.0,1.0,4.0,0.0,1.0,0,2.0,1.4,1.4,1.8,1.1,2.25,1.45,8,0
414,414,5.0,0.0,3.0,0.0,16.0,11.0,10.0,5.0,9.0,11.0,6.0,3.0,1.0,2.0,0.0,0.0,0,0.0,1.6,1.8,1.4,1.8,1.15,1.95,1,10
415,415,2.0,2.0,1.0,1.0,10.0,9.0,4.0,5.0,17.0,11.0,2.0,2.0,3.0,1.0,0.0,0.0,2,2.0,1.2,1.8,1.1,1.2,1.15,1.0,16,7
416,416,2.0,0.0,1.0,0.0,23.0,7.0,5.0,0.0,12.0,11.0,7.0,1.0,0.0,2.0,1.0,0.0,0,0.0,0.4,2.0,0.7,1.9,1.2,1.45,18,21
417,417,3.0,1.0,2.0,1.0,19.0,3.0,7.0,2.0,14.0,11.0,11.0,3.0,1.0,1.0,0.0,0.0,0,0.0,1.2,0.6,1.4,0.5,1.4,0.7,3,15
418,418,4.0,2.0,3.0,0.0,13.0,12.0,8.0,4.0,11.0,10.0,3.0,5.0,2.0,1.0,0.0,0.0,0,0.0,1.6,2.2,1.4,2.0,1.15,1.7,13,20
419,419,0.0,1.0,0.0,0.0,18.0,11.0,3.0,6.0,7.0,12.0,4.0,2.0,0.0,4.0,0.0,0.0,1,2.0,1.0,1.6,1.0,1.7,1.05,1.1,9,4
420,420,3.0,0.0,1.0,0.0,13.0,11.0,6.0,3.0,12.0,16.0,0.0,5.0,2.0,2.0,0.0,0.0,0,0.0,0.8,1.6,1.2,1.4,1.1,1.9,12,5
421,421,1.0,0.0,0.0,0.0,17.0,11.0,7.0,2.0,15.0,13.0,3.0,2.0,0.0,2.0,0.0,0.0,0,2.0,1.6,1.2,1.7,1.1,1.1,1.15,4,16
422,422,2.0,2.0,2.0,1.0,14.0,8.0,7.0,4.0,5.0,8.0,7.0,3.0,2.0,2.0,0.0,0.0,2,0.0,1.4,0.4,1.1,0.7,1.45,1.2,0,18
423,423,1.0,1.0,1.0,0.0,9.0,17.0,4.0,4.0,9.0,13.0,3.0,7.0,1.0,0.0,0.0,0.0,2,0.0,1.6,1.6,1.4,1.4,1.15,1.15,13,1
424,424,2.0,0.0,0.0,0.0,16.0,6.0,6.0,2.0,9.0,10.0,9.0,3.0,2.0,0.0,0.0,0.0,0,2.0,1.6,1.4,1.4,1.8,1.9,2.25,5,8
425,425,4.0,2.0,2.0,1.0,9.0,20.0,6.0,8.0,9.0,9.0,4.0,6.0,2.0,2.0,0.0,0.0,0,0.0,2.0,1.4,1.9,1.3,1.45,1.5,21,17
426,426,2.0,2.0,2.0,2.0,7.0,14.0,3.0,4.0,10.0,13.0,4.0,6.0,1.0,1.0,1.0,0.0,2,2.0,0.8,1.2,0.6,1.4,0.5,1.4,6,3
427,427,3.0,0.0,2.0,0.0,10.0,12.0,5.0,4.0,13.0,15.0,4.0,4.0,2.0,3.0,0.0,0.0,0,0.0,1.8,0.8,1.2,1.2,1.0,1.1,7,12
428,428,0.0,2.0,0.0,1.0,7.0,9.0,0.0,4.0,11.0,14.0,4.0,3.0,2.0,1.0,0.0,0.0,1,1.0,0.6,1.8,0.5,1.8,0.7,1.95,15,10
429,429,3.0,3.0,1.0,2.0,15.0,9.0,4.0,5.0,19.0,18.0,8.0,5.0,3.0,4.0,0.0,0.0,2,1.0,2.2,1.0,2.0,1.0,1.7,1.05,20,9
430,430,0.0,1.0,0.0,1.0,6.0,13.0,1.0,3.0,8.0,6.0,1.0,6.0,1.0,0.0,1.0,0.0,1,1.0,1.2,2.0,1.1,1.9,1.15,1.45,16,21
431,431,2.0,2.0,0.0,1.0,13.0,12.0,7.0,5.0,14.0,8.0,6.0,4.0,2.0,0.0,0.0,0.0,2,1.0,1.0,1.4,1.0,1.1,1.05,1.45,9,0
432,432,2.0,0.0,0.0,0.0,12.0,14.0,6.0,4.0,15.0,12.0,5.0,9.0,2.0,1.0,0.0,0.0,0,2.0,1.4,1.6,1.8,1.4,2.25,1.15,8,13
433,433,2.0,2.0,0.0,1.0,28.0,7.0,10.0,5.0,10.0,12.0,17.0,4.0,2.0,2.0,0.0,0.0,2,1.0,1.2,1.6,1.4,1.4,1.4,1.9,3,5
434,434,2.0,4.0,1.0,2.0,15.0,9.0,6.0,6.0,12.0,11.0,3.0,0.0,2.0,5.0,0.0,0.0,1,1.0,1.4,0.4,1.3,0.7,1.5,1.2,17,18
435,435,0.0,0.0,0.0,0.0,17.0,8.0,6.0,3.0,7.0,10.0,11.0,3.0,0.0,0.0,0.0,0.0,2,2.0,0.8,1.6,1.2,1.7,1.1,1.1,12,4
436,436,1.0,1.0,0.0,1.0,6.0,12.0,2.0,3.0,18.0,16.0,4.0,7.0,3.0,3.0,1.0,1.0,2,1.0,0.6,2.2,0.5,2.0,0.7,1.7,15,20
437,437,2.0,0.0,2.0,0.0,17.0,4.0,2.0,0.0,11.0,11.0,7.0,4.0,3.0,3.0,0.0,1.0,0,0.0,1.6,0.8,1.4,0.6,1.15,0.5,1,6
438,438,2.0,2.0,1.0,1.0,11.0,13.0,5.0,3.0,8.0,6.0,4.0,4.0,1.0,0.0,0.0,0.0,2,2.0,1.8,1.8,1.8,1.2,1.95,1.0,10,7
439,439,1.0,1.0,1.0,0.0,8.0,5.0,2.0,3.0,11.0,17.0,3.0,4.0,0.0,1.0,0.0,0.0,2,0.0,2.2,0.8,2.0,1.2,1.7,1.1,20,12
440,440,0.0,2.0,0.0,0.0,9.0,11.0,1.0,4.0,10.0,20.0,7.0,3.0,0.0,2.0,1.0,0.0,1,2.0,0.4,1.0,0.7,1.0,1.2,1.05,18,9
441,441,3.0,1.0,0.0,0.0,24.0,3.0,9.0,2.0,3.0,11.0,4.0,2.0,1.0,1.0,0.0,0.0,0,2.0,1.4,1.2,1.1,1.1,1.45,1.15,0,16
442,442,0.0,1.0,0.0,0.0,16.0,8.0,3.0,3.0,17.0,14.0,9.0,3.0,2.0,3.0,0.0,0.0,1,2.0,1.8,1.6,1.2,1.4,1.0,1.15,7,1
443,443,3.0,0.0,1.0,0.0,11.0,2.0,4.0,1.0,8.0,13.0,10.0,2.0,1.0,0.0,0.0,0.0,0,0.0,1.6,0.6,1.7,0.5,1.1,0.7,4,15
