week,date,time,home_team,away_team,home_team_score,away_team_score,home_team_logo,away_team_logo
Week 15,24/11,13:30,KV Malines,Beerschot,,,https://static.sportid.be/images/soccer/teams/kvmechelen.png,https://static.sportid.be/images/soccer/teams/beerschot.png
Week 15,24/11,16:00,OH Louvain,Union SG,,,https://static.sportid.be/images/soccer/teams/ohl.png,https://static.sportid.be/images/soccer/teams/union_sg.png
Week 15,24/11,18:30,Anderlecht,La Gantoise,,,https://static.sportid.be/images/soccer/teams/anderlecht.png,https://static.sportid.be/images/soccer/teams/aagent.png
Week 15,24/11,19:15,Westerlo,KV Courtrai,,,https://static.sportid.be/images/soccer/teams/westerlo.png,https://static.sportid.be/images/soccer/teams/kortrijk.png
Week 16,29/11,20:45,KV Courtrai,KV Malines,,,https://static.sportid.be/images/soccer/teams/kortrijk.png,https://static.sportid.be/images/soccer/teams/kvmechelen.png
Week 16,30/11,18:15,FC Bruges,FCV Dender EH,,,https://static.sportid.be/images/soccer/teams/clubbrugge.png,https://static.sportid.be/images/soccer/teams/dender.png
Week 16,30/11,20:45,Charleroi,Standard,,,https://static.sportid.be/images/soccer/teams/charleroi.png,https://static.sportid.be/images/soccer/teams/standard.png
Week 16,01/12,13:30,STVV,KRC Genk,,,https://static.sportid.be/images/soccer/teams/sinttruiden.png,https://static.sportid.be/images/soccer/teams/racinggenk.png
Week 16,01/12,16:00,Beerschot,Cercle de Bruges,,,https://static.sportid.be/images/soccer/teams/beerschot.png,https://static.sportid.be/images/soccer/teams/cercle_brugge.png
Week 16,01/12,16:00,OH Louvain,Anderlecht,,,https://static.sportid.be/images/soccer/teams/ohl.png,https://static.sportid.be/images/soccer/teams/anderlecht.png
Week 16,01/12,18:30,Union SG,Antwerp,,,https://static.sportid.be/images/soccer/teams/union_sg.png,https://static.sportid.be/images/soccer/teams/rafc_logo_01.png
Week 16,01/12,19:15,Westerlo,La Gantoise,,,https://static.sportid.be/images/soccer/teams/westerlo.png,https://static.sportid.be/images/soccer/teams/aagent.png
