week,date,time,home_team,away_team,home_team_score,away_team_score,home_team_logo,away_team_logo
Week 29,08/03,18:00,Union SG,Standard,,,https://static.sportid.be/images/soccer/teams/union_sg.png,https://static.sportid.be/images/soccer/teams/standard.png
Week 29,08/03,18:00,Westerlo,Anderlecht,,,https://static.sportid.be/images/soccer/teams/westerlo.png,https://static.sportid.be/images/soccer/teams/anderlecht.png
Week 29,08/03,18:00,Cercle de Bruges,FC Bruges,,,https://static.sportid.be/images/soccer/teams/cercle_brugge.png,https://static.sportid.be/images/soccer/teams/clubbrugge.png
Week 29,08/03,18:00,Antwerp,La Gantoise,,,https://static.sportid.be/images/soccer/teams/rafc_logo_01.png,https://static.sportid.be/images/soccer/teams/aagent.png
Week 29,08/03,18:00,Charleroi,KV Malines,,,https://static.sportid.be/images/soccer/teams/charleroi.png,https://static.sportid.be/images/soccer/teams/kvmechelen.png
Week 30,15/03,18:00,Standard,Antwerp,,,https://static.sportid.be/images/soccer/teams/standard.png,https://static.sportid.be/images/soccer/teams/rafc_logo_01.png
Week 30,15/03,18:00,OH Louvain,STVV,,,https://static.sportid.be/images/soccer/teams/ohl.png,https://static.sportid.be/images/soccer/teams/sinttruiden.png
Week 30,15/03,18:00,FC Bruges,Charleroi,,,https://static.sportid.be/images/soccer/teams/clubbrugge.png,https://static.sportid.be/images/soccer/teams/charleroi.png
Week 30,15/03,18:00,Beerschot,Westerlo,,,https://static.sportid.be/images/soccer/teams/beerschot.png,https://static.sportid.be/images/soccer/teams/westerlo.png
Week 30,15/03,18:00,Anderlecht,Cercle de Bruges,,,https://static.sportid.be/images/soccer/teams/anderlecht.png,https://static.sportid.be/images/soccer/teams/cercle_brugge.png
Week 30,15/03,18:00,KRC Genk,Union SG,,,https://static.sportid.be/images/soccer/teams/racinggenk.png,https://static.sportid.be/images/soccer/teams/union_sg.png
Week 30,15/03,18:00,La Gantoise,KV Courtrai,,,https://static.sportid.be/images/soccer/teams/aagent.png,https://static.sportid.be/images/soccer/teams/kortrijk.png
Week 30,15/03,18:00,KV Malines,FCV Dender EH,,,https://static.sportid.be/images/soccer/teams/kvmechelen.png,https://static.sportid.be/images/soccer/teams/dender.png
